31 material,,
Frequency(Hz),µ',µ''
1.00E+06,1400.65,463.22
2.00E+06,980.76,734.77
2.33E+06,854.67,752.33
2.68E+06,757.67,728.33
3.09E+06,668.67,696.33
3.56E+06,590,657.67
4.09E+06,520.67,616
4.71E+06,460.33,571.33
5.43E+06,409,527
6.25E+06,365.67,484.33
7.20E+06,3.29E+02,444.33
8.29E+06,2.99E+02,408.33
9.54E+06,2.72E+02,375.33
1.10E+07,2.48E+02,346.67
1.26E+07,2.27E+02,321.67
1.46E+07,2.06E+02,299
1.68E+07,1.87E+02,278.67
1.93E+07,1.68E+02,260
2.22E+07,149.6666667,242.3333333
2.56E+07,132.3333333,226.3333333
2.95E+07,115.6666667,210.3333333
3.39E+07,100.7,195
3.91E+07,86.2,180
4.50E+07,73.33333333,165.3333333
5.18E+07,61.8,151.6666667
