61 material,,
Frequency(Hz),µ',µ''
1.00E+06,123.6254116,0.497453645
1.04E+06,123.5848537,0.518465537
1.08E+06,123.566985,0.526507663
1.13E+06,123.5997975,0.535161804
1.17E+06,123.6264548,0.474623285
1.22E+06,123.5843891,0.487374725
1.27E+06,123.6165072,0.487855599
1.32E+06,123.5963691,0.4708244
1.38E+06,123.6015908,0.478158813
1.43E+06,123.6085743,0.447832234
1.49E+06,123.6012474,0.519517107
1.55E+06,123.6020684,0.491045471
1.62E+06,123.5794096,0.476810202
1.68E+06,123.5999672,0.498506508
1.75E+06,123.6193765,0.480082308
1.82E+06,123.6253542,0.507610708
1.90E+06,123.6180033,0.501487192
1.97E+06,123.6435161,0.496372509
2.06E+06,123.6851202,0.490479404
2.14E+06,123.68336,0.507668497
2.23E+06,123.6885178,0.51275319
2.32E+06,123.6655248,0.520183927
2.41E+06,123.7009032,0.554466093
2.51E+06,123.6966801,0.545019138
2.61E+06,123.7309297,0.544217409
2.72E+06,123.7725122,0.564005723
2.83E+06,123.7845388,0.556015689
2.95E+06,123.8191138,0.565843659
3.07E+06,123.8308649,0.567299407
3.19E+06,123.8571073,0.615480703
3.32E+06,123.8956551,0.590794672
3.46E+06,123.9430188,0.597904888
3.60E+06,123.9984453,0.614951305
3.75E+06,124.0378867,0.60179482
3.90E+06,124.1057006,0.655754333
4.06E+06,124.1916258,0.644442748
4.23E+06,124.2220476,0.671293113
4.40E+06,124.2794386,0.703389251
4.58E+06,124.3783533,0.70577527
4.76E+06,124.4940424,0.707114015
4.96E+06,124.5623129,0.723115501
5.16E+06,124.6768713,0.757934329
5.37E+06,124.8017004,0.780027905
5.59E+06,124.8926895,0.772613923
5.82E+06,125.0516324,0.812815622
6.06E+06,125.1863767,0.841830269
6.31E+06,125.3344157,0.864619184
6.56E+06,125.5540013,0.871794752
6.83E+06,125.7574691,0.916038535
7.11E+06,125.9831876,0.953177002
7.40E+06,126.2210662,0.999794528
7.70E+06,126.4457839,1.028060182
8.02E+06,126.7214518,1.079726533
8.35E+06,127.0005414,1.116287807
8.69E+06,127.3316238,1.178672595
9.04E+06,127.6986875,1.229787813
9.41E+06,128.1205985,1.358077549
9.79E+06,128.5572523,1.401826134
1.02E+07,129.0983296,1.492421459
1.03E+07,128.1498,1.55363
1.07E+07,128.6408,1.656299
1.11E+07,129.136,1.758314
1.15E+07,129.6923,1.87512
1.19E+07,130.2243,2.010801
1.23E+07,130.8808,2.191492
1.28E+07,131.7312,2.43428
1.34E+07,132.6244,2.703707
1.39E+07,133.5882,2.999774
1.44E+07,134.6208,3.35902
1.50E+07,135.718,3.762732
1.55E+07,136.8644,4.233336
1.60E+07,138.0991,4.775536
1.66E+07,139.6194,5.514787
1.73E+07,141.4799,6.537528
1.80E+07,143.4303,7.751931
1.87E+07,145.4633,9.208257
1.94E+07,147.5816,10.92255
2.01E+07,149.6938,12.96627
2.08E+07,151.7959,15.31635
2.16E+07,154.1053,18.43089
2.25E+07,156.5276,22.54366
2.34E+07,158.6075,27.28601
2.43E+07,160.1357,32.53471
2.52E+07,161.009,38.27763
2.62E+07,161.1131,44.2868
2.71E+07,160.3884,50.41602
2.81E+07,158.3006,57.40897
2.93E+07,154.5541,64.97943
3.05E+07,149.886,71.43356
3.17E+07,144.3333,76.88592
3.29E+07,138.2985,81.20377
3.41E+07,132.2334,84.36111
3.53E+07,126.2935,86.57523
3.65E+07,120.5209,88.05858
3.79E+07,114.3808,88.92239
3.95E+07,108.0897,89.14414
4.11E+07,102.4137,88.90086
4.27E+07,97.312,88.26846
4.43E+07,92.74043,87.37366
4.59E+07,88.67001,86.34693
4.75E+07,85.01205,85.20501
4.93E+07,81.27878,83.85094
5.14E+07,77.45906,82.26083
5.35E+07,74.11016,80.70981
5.56E+07,71.12485,79.23106
5.77E+07,68.42706,77.84381
59848855.23,65.96056,76.54174
61961014.77,63.71661,75.31972
64073174.31,61.62829,74.12907
66520055.49,59.38565,72.86068
69315618.92,57.00206,71.47643
72111182.34,54.85192,70.13367
74906745.76,52.819,68.90042
77702309.18,50.96349,67.71322
80497872.61,49.22982,66.56122
83293436.03,47.61275,65.48785
86474317.01,45.91824,64.30151
90108475.69,44.07932,63.04412
93742634.38,42.42727,61.86921
97376793.07,40.81315,60.72672
101010951.8,39.42057,59.68184
104645110.4,38.05838,58.69982
108279269.1,36.73352,57.73315
112414330.5,35.32238,56.6799
117231663.8,33.80558,55.53779
122048997.1,32.40487,54.44671
126866330.4,31.07524,53.42657
131683663.7,29.83672,52.4646
136500997,28.66149,51.53798
141318330.3,27.51439,50.60893
146135663.6,26.45281,49.72672
151716417.3,25.38819,48.81355
158092432.2,24.14325,47.79073
164468447.1,22.97349,46.81673
170844462,21.89095,45.87272
177220477,20.87759,44.96782
183596491.9,19.93031,44.11569
189972506.8,19.01471,43.28825
197227339.4,18.04062,42.40953
205679196.2,16.97093,41.41989
214131053.1,15.9869,40.45727
222582909.9,15.08065,39.54744
231034766.8,14.22239,38.69883
239486623.6,13.39005,37.83969
247938480.5,12.60713,37.03916
256390337.3,11.89822,36.26765
266181590.8,11.10709,35.42958
277368104.6,10.29027,34.4775
288554618.4,9.517116,33.56874
299741132.3,8.829611,32.72929
310927646.1,8.167649,31.90564
322114159.9,7.557956,31.13615
333300673.7,6.988154,30.38868
346029044.9,6.383667,29.5734
360571217.7,5.759368,28.70014
375113390.4,5.195959,27.87207
389655563.2,4.610924,27.10303
404197736,4.162535,26.32454
418739908.8,3.706243,25.62252
433282081.6,3.290729,24.93942
449828628.3,2.891023,24.20901
469105302.6,2.339303,23.4611
488381976.8,1.973527,22.61973
507658651.1,1.605371,21.9276
526935325.3,1.26951,21.28278
546211999.5,0.9097676,20.64744
565488673.8,0.6140161,20.03492
584765348,0.373426,19.44697
607096867.3,0.1049695,18.8452
632610643.3,-0.2059293,18.18185
658124419.3,-0.4699168,17.55192
683638195.3,-0.7234159,16.97544
709151971.3,-0.9435239,16.41166
734665747.4,-1.120501,15.88096
760179523.4,-1.269254,15.40964
789209909.2,-1.431347,14.92724
823030216.2,-1.594252,14.34183
856850523.3,-1.76571,13.88023
890670830.3,-1.883063,13.42031
924491137.4,-2.011064,13.02369
958311444.5,-2.130683,12.64085
992131751.5,-2.238227,12.31028
1025952059,-2.323851,12.00373
1065131993,-2.433583,11.6822
1109895095,-2.579131,11.34395
1154658198,-2.712423,11.06393
1199421300,-2.852007,10.78807
1244184402,-2.995353,10.54234
1288947504,-3.148581,10.29768
1333710606,-3.302269,10.0991
1384643488,-3.484011,9.88204
1443980132,-3.696113,9.667949
1503316777,-3.917482,9.509534
1562653422,-4.168153,9.357167
1621990066,-4.417902,9.233056
1681326711,-4.699312,9.120067
1740663355,-5.009973,9.003093
1800000000,-5.335955,8.884206
